DATE,RHVRUSQ156N
2000-01-01,1.6
2000-04-01,1.5
2000-07-01,1.6
2000-10-01,1.6
2001-01-01,1.5
2001-04-01,1.8
2001-07-01,1.9
2001-10-01,1.8
2002-01-01,1.7
2002-04-01,1.7
2002-07-01,1.7
2002-10-01,1.7
2003-01-01,1.7
2003-04-01,1.7
2003-07-01,1.9
2003-10-01,1.8
2004-01-01,1.7
2004-04-01,1.7
2004-07-01,1.7
2004-10-01,1.8
2005-01-01,1.8
2005-04-01,1.8
2005-07-01,1.9
2005-10-01,2.0
2006-01-01,2.1
2006-04-01,2.2
2006-07-01,2.5
2006-10-01,2.7
2007-01-01,2.8
2007-04-01,2.6
2007-07-01,2.7
2007-10-01,2.8
2008-01-01,2.9
2008-04-01,2.8
2008-07-01,2.8
2008-10-01,2.9
2009-01-01,2.7
2009-04-01,2.5
2009-07-01,2.6
2009-10-01,2.7
2010-01-01,2.6
2010-04-01,2.5
2010-07-01,2.5
2010-10-01,2.7
2011-01-01,2.6
2011-04-01,2.5
2011-07-01,2.4
2011-10-01,2.3
2012-01-01,2.2
2012-04-01,2.1
2012-07-01,1.9
2012-10-01,1.9
2013-01-01,2.1
2013-04-01,1.9
2013-07-01,1.9
2013-10-01,2.1
2014-01-01,2.0
2014-04-01,1.9
2014-07-01,1.8
2014-10-01,1.9
2015-01-01,1.9
2015-04-01,1.8
2015-07-01,1.9
2015-10-01,1.9
2016-01-01,1.7
2016-04-01,1.7
2016-07-01,1.8
2016-10-01,1.8
2017-01-01,1.7
2017-04-01,1.5
2017-07-01,1.6
2017-10-01,1.6
2018-01-01,1.5
2018-04-01,1.5
2018-07-01,1.6
2018-10-01,1.5
2019-01-01,1.4
2019-04-01,1.3
2019-07-01,1.4
2019-10-01,1.4
2020-01-01,1.1
2020-04-01,0.9
2020-07-01,0.9
2020-10-01,1.0
