DATE,TTLCONS
2000-01-01,2388136
2000-04-01,2405182
2000-07-01,2403466
2000-10-01,2447670
2001-01-01,2456183
2001-04-01,2546268
2001-07-01,2535348
2001-10-01,2539541
2002-01-01,2565543
2002-04-01,2555952
2002-07-01,2518271
2002-10-01,2540308
2003-01-01,2574212
2003-04-01,2607138
2003-07-01,2704692
2003-10-01,2800208
2004-01-01,2837497
2004-04-01,2925070
2004-07-01,3031880
2004-10-01,3076193
2005-01-01,3184675
2005-04-01,3280249
2005-07-01,3396702
2005-10-01,3517598
2006-01-01,3606450
2006-04-01,3546005
2006-07-01,3439586
2006-10-01,3380069
2007-01-01,3423573
2007-04-01,3475682
2007-07-01,3473105
2007-10-01,3400540
2008-01-01,3311441
2008-04-01,3292897
2008-07-01,3216606
2008-10-01,3090131
2009-01-01,2910600
2009-04-01,2765032
2009-07-01,2698791
2009-10-01,2572493
2010-01-01,2458848
2010-04-01,2475054
2010-07-01,2409452
2010-10-01,2394918
2011-01-01,2287497
2011-04-01,2339527
2011-07-01,2417994
2011-10-01,2441795
2012-01-01,2484266
2012-04-01,2550677
2012-07-01,2588248
2012-10-01,2619227
2013-01-01,2600815
2013-04-01,2667775
2013-07-01,2784938
2013-10-01,2894547
2014-01-01,2965282
2014-04-01,3020472
2014-07-01,3051921
2014-10-01,3147724
2015-01-01,3244818
2015-04-01,3436022
2015-07-01,3502063
2015-10-01,3480105
2016-01-01,3562587
2016-04-01,3633952
2016-07-01,3690645
2016-10-01,3799723
2017-01-01,3815209
2017-04-01,3838744
2017-07-01,3824359
2017-10-01,3891911
2018-01-01,4057285
2018-04-01,4072632
2018-07-01,3991542
2018-10-01,3880210
2019-01-01,3962025
2019-04-01,4117511
2019-07-01,4256302
2019-10-01,4338478
2020-01-01,4495061
2020-04-01,4325164
2020-07-01,4353880
2020-10-01,4463093
2021-01-01,4631600
2021-04-01,4696965
2021-07-01,4790223
2021-10-01,4938155
2022-01-01,5195956
2022-04-01,.
